,time,action,sideWithBall,lenOfNearest,nearestPlayer,lenOfMiddleDist,middleDistPlayer,passPair,goalIsNearest
1718,2616,searching,,0,[],4,"['L7', 'L8', 'R5', 'R8']",,False
1719,2617,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1720,2618,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1721,2619,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1722,2620,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1723,2621,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1724,2622,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1725,2623,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1726,2624,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1727,2625,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1728,2626,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1729,2627,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1730,2628,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1731,2629,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1732,2630,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1733,2631,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1734,2632,dribbling,L,1,['L7'],4,"['L7', 'L8', 'R5', 'R8']",,False
1735,2633,searching,,0,[],4,"['L7', 'L8', 'R5', 'R8']",,False
1736,2730,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1737,2731,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1738,2732,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1739,2733,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1740,2734,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1741,2735,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1742,2736,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1743,2737,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1744,2738,passing,R,1,['R8'],3,"['L8', 'R5', 'R8']","['R8', 'R10', 'R']",False
1745,2739,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1746,2740,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1747,2741,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1748,2742,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1749,2743,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1750,2744,searching,,0,[],3,"['L8', 'R8', 'R10']",,False
1751,2745,searching,,0,[],3,"['L8', 'R8', 'R10']",,False
1752,2746,searching,,0,[],1,['R10'],,False
1753,2747,searching,,0,[],1,['R10'],,False
1754,2748,dribbling,R,1,['R10'],1,['R10'],,False
1755,2749,dribbling,R,1,['R10'],2,"['L4', 'R10']",,False
1756,2750,dribbling,R,1,['R10'],2,"['L4', 'R10']",,False
1757,2751,searching,,0,[],2,"['L4', 'R10']",,False
1758,2752,searching,,0,[],2,"['L4', 'R10']",,False
1759,2753,dribbling,R,1,['R10'],2,"['L4', 'R10']",,False
1760,2754,dribbling,R,1,['R10'],4,"['L4', 'R5', 'R8', 'R10']",,False
